Category,Item,Serving Size,Calories,Calories from Fat,Total Fat,Total Fat (% Daily Value),Saturated Fat,Saturated Fat (% Daily Value),Trans Fat,Cholesterol,Cholesterol (% Daily Value),Sodium,Sodium (% Daily Value),Carbohydrates,Carbohydrates (% Daily Value),Dietary Fiber,Dietary Fiber (% Daily Value),Sugars,Protein,Vitamin A (% Daily Value),Vitamin C (% Daily Value),Calcium (% Daily Value),Iron (% Daily Value),,
Beverages,Diet Dr Pepper (Child),12 fl oz cup,,,,,,,,,,5,2,,15,2,8,29,1,7,8,9,6,,
Beverages,Sprite (Small),16 fl oz cup,14,,,,,,,,,3,1,37,12,2,8,37,13,7,8,9,6,,
Beverages,Sprite (Medium),21 fl oz cup,2,,,,,,,,,45,2,54,18,2,8,54,13,7,8,9,6,,
Beverages,Sprite (Large),30 fl oz cup,28,,,,,,,,,6,3,74,25,2,8,74,13,7,8,9,6,,
Beverages,Sprite (Child),12 fl oz cup,1,,,,,,,,,25,1,27,9,2,8,27,13,7,8,9,6,,
Beverages,1% Low Fat Milk Jug,1 carton (236 ml),1,2,3,4,2,8,,1,3,125,5,12,4,2,8,12,8,1,4,3,6,,
Beverages,Fat Free Chocolate Milk Jug,1 carton (236 ml),13,,,,,,,5,2,135,6,23,8,1,2,22,9,1,8,3,8,,
Beverages,Minute Maid 100% Apple Juice Box,6 fl oz (177 ml),8,,,,,,,,,15,1,21,7,2,8,19,13,7,1,1,6,,
Beverages,Minute Maid Orange Juice (Small),12 fl oz cup,15,,,,,,,,,,,34,11,2,8,3,2,7,13,2,6,,
Beverages,Minute Maid Orange Juice (Medium),16 fl oz cup,19,,,,,,,,,,,44,15,2,8,39,3,7,16,4,6,,
Beverages,Minute Maid Orange Juice (Large),22 fl oz cup,28,,,,,,,,,5,,65,22,2,8,58,4,7,24,4,6,,
Beverages,Dasani Water Bottle,16.9 fl oz,,,,,,,,,,,,,15,2,8,29,13,7,8,9,6,,
Coffee & Tea,Iced Tea (Small),16 fl oz cup,,,,,,,,,,1,,,15,2,8,29,13,7,8,9,6,,
Coffee & Tea,Iced Tea (Medium),21 fl oz cup,,,,,,,,,,1,,,15,2,8,29,13,7,8,9,6,,
Coffee & Tea,Iced Tea (Large),30 fl oz cup,,,,,,,,,,15,1,,15,2,8,29,13,7,8,9,6,,
Coffee & Tea,Iced Tea (Child),12 fl oz cup,,,,,,,,,,5,,,15,2,8,29,13,7,8,9,6,,
Coffee & Tea,Sweet Tea (Small),16 fl oz cup,15,,,,,,,,,1,,36,12,2,8,36,1,7,8,9,6,,
Coffee & Tea,Sweet Tea (Medium),21 fl oz cup,18,,,,,,,,,1,,45,15,2,8,45,1,7,8,9,6,,
Coffee & Tea,Sweet Tea (Large),30 fl oz cup,22,,,,,,,,,1,1,54,18,2,8,54,1,7,8,9,6,,
Coffee & Tea,Sweet Tea (Child),12 fl oz cup,11,,,,,,,,,5,,27,9,2,8,27,13,7,8,9,6,,
Coffee & Tea,Coffee (Small),12 fl oz cup,,,,,,,,,,,,,15,2,8,29,13,7,8,9,6,,
Coffee & Tea,Coffee (Medium),16 fl oz cup,,,,,,,,,,,,,15,2,8,29,13,7,8,9,6,,
Coffee & Tea,Coffee (Large),16 fl oz cup,,,,,,,,,,,,,15,2,8,29,13,7,8,9,6,,
Coffee & Tea,Latte (Small),12 fl oz cup,17,8,9,13,5,24,,25,9,115,5,15,5,1,3,12,9,8,8,3,6,,
Coffee & Tea,Latte (Medium),16 fl oz cup,21,9,1,16,6,3,,3,11,14,6,18,6,1,4,15,11,1,8,35,6,,
Coffee & Tea,Latte (Large),20 fl oz cup,28,12,14,21,8,39,,4,14,18,8,24,8,1,6,2,15,15,8,5,2,,
Coffee & Tea,Caramel Latte (Small),12 fl oz cup,27,8,9,13,5,24,,25,9,115,5,4,13,1,3,38,9,8,8,3,6,,
Coffee & Tea,Caramel Latte (Medium),16 fl oz cup,34,9,1,16,6,3,,3,11,14,6,5,17,1,4,48,11,1,8,35,6,,
Coffee & Tea,Caramel Latte (Large),20 fl oz cup,43,12,14,21,8,39,,4,14,18,8,62,21,1,6,59,15,15,8,5,2,,
Coffee & Tea,Hazelnut Latte (Small),12 fl oz cup,27,8,9,13,5,24,,25,9,115,5,4,13,1,3,38,9,8,8,3,6,,
Coffee & Tea,Hazelnut Latte (Medium),16 fl oz cup,33,9,1,16,6,3,,3,11,14,6,5,17,1,4,47,11,1,8,35,6,,
Coffee & Tea,Hazelnut Latte (Large),20 fl oz cup,43,12,14,21,8,39,,4,14,18,8,62,21,1,6,58,15,15,8,5,2,,
Coffee & Tea,French Vanilla Latte (Small),12 fl oz cup,26,8,9,13,5,24,,25,9,115,5,38,13,1,3,36,9,8,8,3,6,,
Coffee & Tea,French Vanilla Latte (Medium),16 fl oz cup,33,9,1,16,6,3,,3,11,14,6,48,16,1,4,45,11,1,8,35,2,,
Coffee & Tea,French Vanilla Latte (Large),20 fl oz cup,42,12,14,21,8,39,,4,14,19,8,6,2,1,6,56,15,15,8,5,2,,
Coffee & Tea,Latte with Sugar Free French Vanilla Syrup (Small),12 fl oz cup,21,8,9,13,5,24,,25,9,15,6,24,8,1,4,12,9,8,8,3,6,,
Coffee & Tea,Latte with Sugar Free French Vanilla Syrup (Medium),16 fl oz cup,26,9,1,16,6,3,,3,11,19,8,29,1,1,5,15,12,1,8,35,6,,
Coffee & Tea,Latte with Sugar Free French Vanilla Syrup (Large),20 fl oz cup,33,12,14,21,8,39,,4,14,24,1,37,12,2,7,2,15,15,8,5,2,,
Coffee & Tea,Nonfat Latte (Small),12 fl oz cup,1,,,,,,,5,2,11,5,15,5,1,3,13,1,1,8,3,6,,
Coffee & Tea,Nonfat Latte (Medium),16 fl oz cup,13,,,,,,,5,2,135,6,19,6,1,4,16,12,15,8,4,6,,
Coffee & Tea,Nonfat Latte (Large),20 fl oz cup,17,,1,1,,,,1,3,18,7,25,8,1,6,21,16,15,8,5,2,,
Coffee & Tea,Nonfat Caramel Latte (Small),12 fl oz cup,2,,,,,,,5,2,11,5,41,14,1,3,39,1,1,8,3,6,,
Coffee & Tea,Nonfat Caramel Latte (Medium),16 fl oz cup,25,,,,,,,5,2,135,6,51,17,1,4,48,12,15,8,4,6,,
Coffee & Tea,Nonfat Caramel Latte (Large),20 fl oz cup,31,,1,1,,,,1,3,18,7,63,21,1,6,59,16,15,8,5,2,,
Coffee & Tea,Nonfat Hazelnut Latte (Small),12 fl oz cup,2,,,,,,,5,2,11,5,4,13,1,3,38,1,1,8,3,6,,
Coffee & Tea,Nonfat Hazelnut Latte (Medium),16 fl oz cup,25,,,,,,,5,2,135,6,51,17,1,4,48,12,15,8,4,6,,
Coffee & Tea,Nonfat Hazelnut Latte (Large),20 fl oz cup,31,,1,1,,,,1,3,18,7,63,21,1,6,59,16,15,8,5,2,,
Coffee & Tea,Nonfat French Vanilla Latte (Small),12 fl oz cup,19,,,,,,,5,2,115,5,39,13,1,3,37,1,1,8,3,6,,
